0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
0,0,0,0,53,53,53,53,106,106,106,106,159,159,159,159,212,212,212,212,265,265,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
0,0,0,39,53,53,78,92,106,117,131,145,159,170,184,198,212,223,237,251,265,276,
