0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,-1,-1,1,16,4,4,4,1,4,4,4,4,1,4,4,4,4,-1,4,4,-1,4,-1,-1,4,-1,-1,-1,
-1,-1,-1,1,16,4,4,4,1,4,4,4,-1,1,4,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,1,16,4,4,4,1,4,4,-1,4,1,-1,4,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,1,16,4,4,4,1,4,4,4,4,1,4,4,-1,4,1,-1,4,-1,-1,1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,5,5,5,5,5,5,5,5,5,5,5,-1,5,5,-1,5,-1,-1,5,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,5,5,5,5,5,5,5,5,5,5,5,-1,5,5,-1,5,-1,-1,5,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,5,5,5,-1,5,5,-1,5,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,27,27,28,-1,27,27,-1,27,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,16,-1,17,11,11,11,-1,11,-1,-1,11,-1,11,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,25,-1,-1,11,-1,25,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,16,-1,17,11,11,11,-1,11,-1,-1,11,-1,11,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,13,13,13,20,13,13,13,13,13,13,13,-1,13,13,-1,13,-1,-1,13,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,13,13,13,20,13,13,13,13,13,13,13,-1,13,13,-1,13,-1,-1,13,-1,-1,-1,-1,-1,
-1,-1,-1,-1,16,25,17,17,16,16,25,17,17,16,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,16,25,17,17,16,16,25,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,16,25,17,17,16,16,25,17,17,16,16,25,17,17,17,16,25,17,-1,-1,16,-1,-1,-1,-1,
-1,-1,-1,-1,16,25,17,17,16,16,25,17,17,16,16,25,17,17,17,16,-1,-1,17,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,25,25,28,28,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,22,20,21,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,22,20,21,20,20,20,20,26,20,-1,-1,20,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,22,20,21,20,20,20,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,22,20,21,20,20,20,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,25,25,28,28,25,25,25,25,25,25,25,25,25,25,25,25,-1,-1,25,-1,-1,-1,-1,-1,
-1,-1,-1,-1,20,20,20,23,20,20,26,20,20,22,20,21,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,27,27,28,28,27,27,27,27,27,28,27,27,27,27,27,27,-1,-1,27,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,27,27,28,28,27,27,27,27,27,28,27,27,27,27,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,-1,-1,29,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,31,31,31,31,33,33,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,31,31,31,31,33,33,33,31,31,31,32,31,31,33,31,31,31,-1,-1,32,-1,-1,-1,-1,
-1,-1,-1,-1,31,31,31,31,31,33,33,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,31,31,31,31,31,33,33,33,31,31,31,32,31,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,39,39,36,37,37,37,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,39,39,36,37,37,37,37,37,37,36,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,39,39,36,37,37,37,37,37,37,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,39,39,39,39,39,39,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,39,39,39,39,39,39,38,39,39,39,39,39,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
