0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
-1,-1,-1,4,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,-1,-1,-1,4,-1,4,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,21,27,-1,21,-1,-1,27,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,21,27,-1,21,-1,-1,27,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,-1,4,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,-1,6,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,-1,27,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,-1,27,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,-1,27,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,-1,27,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,6,21,4,-1,27,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,-1,6,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,-1,6,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,27,4,21,4,4,27,6,21,4,21,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,27,21,21,21,27,27,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,27,21,21,21,27,27,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,-1,21,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,27,21,21,21,27,27,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,27,21,21,21,27,27,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,21,21,27,27,27,21,21,21,27,27,-1,21,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,32,27,27,27,27,27,27,27,27,27,27,27,-1,27,-1,-1,27,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,27,27,32,27,27,27,-1,27,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,32,32,32,32,32,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,32,32,32,32,32,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,32,32,32,32,32,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,32,32,47,32,32,32,32,32,32,32,-1,32,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,-1,77,-1,-1,39,-1,39,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,-1,60,39,39,39,-1,39,-1,-1,39,-1,39,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,47,42,-1,-1,48,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,47,42,-1,-1,48,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,47,-1,-1,47,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,47,42,47,-1,-1,42,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,47,-1,-1,47,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,48,-1,-1,47,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,47,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,-1,60,56,56,56,-1,56,-1,-1,56,-1,56,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,47,42,47,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,47,43,48,47,54,47,47,48,42,47,47,50,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,61,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,61,60,60,77,60,-1,60,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,61,60,60,77,60,-1,60,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,61,-1,60,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,-1,60,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,60,-1,60,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,60,77,-1,61,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,60,77,60,61,60,-1,77,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,72,72,74,74,74,72,72,72,72,74,72,72,72,72,72,72,-1,-1,72,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,77,77,86,77,77,77,-1,77,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,72,72,74,74,74,72,72,72,72,74,72,72,72,72,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,77,77,86,77,77,77,-1,77,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,77,77,86,77,77,77,-1,77,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,77,77,86,77,77,77,77,77,77,77,77,77,77,77,-1,77,-1,-1,77,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,79,87,78,78,85,79,79,-1,-1,78,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,79,87,78,78,85,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,79,87,78,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,86,86,86,86,86,86,86,86,86,86,-1,86,-1,-1,86,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,79,87,87,87,85,79,79,79,87,78,78,85,79,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,88,88,91,88,88,88,88,88,88,88,-1,88,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,89,89,89,89,89,89,103,89,89,89,89,89,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,89,89,89,89,89,89,103,89,89,89,89,89,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,91,99,97,93,91,91,95,93,93,91,-1,-1,93,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,91,99,97,-1,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,91,99,97,93,91,91,95,-1,-1,91,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,91,99,97,93,91,91,95,93,-1,-1,91,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,-1,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,93,91,99,97,93,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,91,91,95,93,93,91,91,95,93,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,104,100,100,100,104,106,100,100,100,100,104,100,100,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,102,102,102,102,102,102,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,102,102,102,102,102,102,103,102,102,102,102,102,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,102,102,102,102,102,102,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,104,105,105,105,104,106,104,104,105,104,104,104,105,104,104,-1,-1,104,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,104,105,105,105,104,106,104,104,105,104,104,104,105,-1,-1,104,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,104,105,105,105,104,106,104,104,105,-1,-1,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,104,104,105,105,105,104,106,104,104,105,104,104,104,105,104,104,-1,-1,104,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,109,109,109,109,109,109,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,109,109,109,109,109,109,108,109,109,109,109,109,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
