0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
-1,-1,-1,6,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,-1,2,1,2,2,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,2,2,-1,2,2,2,2,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,
-1,-1,-1,6,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,4,4,-1,4,4,4,4,-1,4,-1,-1,4,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,4,4,-1,4,4,4,4,-1,4,-1,-1,4,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,13,6,11,6,27,13,6,11,6,11,13,6,11,6,11,13,-1,11,-1,-1,13,-1,-1,-1,
-1,-1,-1,6,27,13,6,11,6,27,13,6,11,6,11,13,6,11,6,-1,13,-1,-1,6,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,13,6,11,6,-1,13,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,13,6,11,6,27,13,6,11,6,11,-1,6,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,6,27,13,6,11,6,-1,13,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,13,13,11,11,11,13,13,11,11,11,13,13,-1,11,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,13,13,12,13,13,13,13,12,13,12,13,13,-1,13,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,13,13,12,13,13,13,13,12,13,12,13,13,12,13,-1,13,-1,-1,13,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,15,15,19,19,-1,15,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,15,15,19,19,15,15,15,15,19,15,-1,15,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,-1,33,-1,-1,17,-1,17,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,-1,33,17,17,27,-1,17,-1,-1,17,-1,17,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,-1,33,-1,-1,17,-1,17,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-1,19,-1,-1,19,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,19,19,-1,19,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,19,19,19,19,19,19,19,-1,19,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,19,19,19,19,19,19,19,19,-1,19,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,19,19,19,19,19,19,19,-1,19,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,30,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,30,27,33,33,27,30,27,33,33,-1,-1,27,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,30,27,33,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,30,27,33,33,27,30,27,33,33,27,-1,-1,33,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,30,27,33,33,27,30,27,33,33,27,30,27,33,33,27,30,27,-1,-1,27,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,-1,-1,33,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,33,33,33,33,33,33,33,33,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,41,41,61,40,41,60,35,40,41,35,40,44,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,41,41,61,40,41,60,35,40,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,38,38,37,38,38,38,38,37,38,38,38,38,37,38,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,38,38,37,38,38,38,38,37,38,38,38,38,37,38,38,38,-1,-1,38,-1,-1,-1,-1,-1,
-1,-1,-1,60,54,38,38,37,38,38,38,38,37,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,41,41,61,40,41,60,35,40,41,35,40,44,44,35,40,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,60,41,41,61,40,41,60,35,40,41,35,40,44,44,35,40,41,35,40,-1,-1,35,-1,-1,-1,-1,
