0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,4,4,4,4,-1,-1,4,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,4,4,-1,-1,2,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,4,4,4,-1,-1,4,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,4,4,-1,-1,2,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,4,4,-1,-1,2,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,4,2,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,2,5,4,4,11,2,4,4,4,4,2,11,4,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,13,13,56,13,13,13,13,13,13,13,13,13,13,13,13,13,-1,-1,13,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,-1,-1,14,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,14,14,16,14,14,14,14,14,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,14,14,16,14,14,14,14,14,14,14,14,14,14,14,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,70,70,18,70,70,70,70,18,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,75,75,18,75,75,75,18,18,75,18,75,75,18,75,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,75,75,18,75,75,75,18,18,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,-1,22,-1,-1,22,-1,22,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,-1,22,-1,-1,22,-1,22,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,22,22,-1,22,22,22,22,-1,22,-1,-1,22,-1,22,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,-1,22,23,22,22,-1,22,-1,-1,23,-1,22,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,-1,31,25,25,25,-1,31,-1,-1,25,-1,31,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,-1,31,25,25,25,-1,31,-1,-1,25,-1,31,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,27,27,27,27,-1,-1,27,-1,-1,-1,-1,-1,
-1,-1,-1,92,-1,31,-1,-1,25,-1,31,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,31,31,-1,25,25,31,31,-1,25,-1,-1,31,-1,25,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,27,27,27,-1,-1,26,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,27,27,27,27,27,26,-1,-1,26,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,27,27,27,27,27,-1,-1,27,-1,-1,-1,-1,
-1,-1,-1,33,36,29,32,33,36,26,32,33,26,27,26,26,27,27,27,27,27,27,-1,-1,27,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,92,92,50,50,52,50,50,50,50,50,50,52,50,50,50,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,
